SUMMARY,DTSTART,DTEND,DUE,NOTES,ATTENDEE,LOCATION,PRIORITY,URL,CALENDAR,UID,ORGANIZER,CATEGORIES,DURATION,REPLACES RECURRENT EVENT FROM
"CODIR","2020-09-08 08:00 AM","2020-09-08 11:15 AM",,"(Exporté le:23/03/2023 17:56)","","G-1D003-Salle du Conseil","","",,,,,
"RDV et inscriptions étudiants internationaux","2020-09-08 08:00 AM","2020-09-08 06:00 PM",,"(Exporté le:23/03/2023 17:56)","","G-1B016-Projet-Vie étudiante","","",,,,,
"RESERVATION DRE","2020-09-08 08:00 AM","2020-09-08 06:00 PM",,"(Exporté le:23/03/2023 17:56)","","G-1B008-Projet-Vie étudiante","","",,,,,
"Algorithmique et programmation","2020-09-08 08:00 AM","2020-09-08 10:00 AM",,"3EUAAEP8_2020_S5_BE_G1JOSSEROND CharlesGOUNON Patrick(Exporté le:23/03/2023 17:56)","","G-3D003-info,G-3B001-info","","",,,,,
"Methodes et outils numeriques","2020-09-08 08:15 AM","2020-09-08 10:15 AM",,"4EUAMON6_2020_S8_BE_G1MAITRE ThierryDELAFIN Pierre-Luc(Exporté le:23/03/2023 17:56)","","G-2C005-info,G-2B001-info","","",,,,,
"REUNION","2020-09-08 09:30 AM","2020-09-08 11:00 AM",,"BELANGER Sophie(Exporté le:23/03/2023 17:56)","","G-2A005","","",,,,,
"LANCEMENT CERSE","2020-09-08 10:15 AM","2020-09-08 10:45 AM",,"4EUS3ESN_2020_S7_BE1_G1WILLEMIN JeromeBRUNELLO Marc(Exporté le:23/03/2023 17:56)","","G-5D003-Electronique & instrumentation associée","","",,,,,
"Algorithmique et programmation","2020-09-08 10:15 AM","2020-09-08 12:15 PM",,"3EUAAEP8_2020_S5_BE_G1JOSSEROND CharlesGOUNON Patrick(Exporté le:23/03/2023 17:56)","","G-3D003-info,G-3B001-info","","",,,,,
"Methodes et outils numeriques","2020-09-08 10:30 AM","2020-09-08 12:30 PM",,"4EUAMON6_2020_S8_CTD_G1RAMDANE Brahim(Exporté le:23/03/2023 17:56)","","G-4D008","","",,,,,
"CERSE","2020-09-08 11:45 AM","2020-09-08 12:15 PM",,"4EUS3CCS_2020_S7_BE1_SEM_G2BRUNELLO MarcROBINET Antoine(Exporté le:23/03/2023 17:56)","","G-5D003-Electronique & instrumentation associée","","",,,,,
"CERSE","2020-09-08 12:15 PM","2020-09-08 12:45 PM",,"4EUS3CCS_2020_S7_BE1_SEM_G1BRUNELLO MarcMAYNARD Xavier(Exporté le:23/03/2023 17:56)","","G-5D003-Electronique & instrumentation associée","","",,,,,
"Fondamentaux de mathematiques","2020-09-08 01:30 PM","2020-09-08 03:30 PM",,"3EUAFDM8_2020_S5_CTD_G1FAURY Christine(Exporté le:23/03/2023 17:56)","","G-4D006","","",,,,,
"TEST D'ANGLAIS","2020-09-08 01:30 PM","2020-09-08 03:30 PM",,"2A-IEE2A-SEM(Exporté le:23/03/2023 17:56)","","G-2A007-info,G-2B001-info,G-2C005-info,G-3A014-info,G-3B001-info,G-3D003-info","","",,,,,
